canonical_cost_code,interchangeable_cost_code
03-300-00-10,03-300-00-10
03-300-00-10,03-100-10-10
03-300-00-10,03-200-10-10
03-300-00-10,03-300-00-12
03-300-00-10,03-300-00-16
03-300-00-10,03-300-00-14
03-300-00-10,31-100-10-20
03-300-10-10,03-300-10-10
03-300-10-10,03-100-20-10
03-300-10-10,03-200-20-10
03-300-20-10,03-300-20-10
03-300-20-10,03-200-30-10
03-300-20-10,03-300-40-70
03-300-30-10,03-300-30-10
03-300-30-10,05-100-10-30
03-300-30-10,03-200-40-10
03-300-30-10,03-150-10-10
03-300-30-10,31-100-10-10
