"customer","projectName","projectNumber","status"
"UNKNOWN","701 Poplar Church Rd","701 Poplar Church Rd","Estimating"
"UNKNOWN","Cavod Performing Arts Center","2511 - CPAC","Bid Submitted"
"UNKNOWN","Ducklings Ambassador Circle","Ducklings Ambassador Circle","Estimating"
"UNKNOWN","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"UNKNOWN","Gables 608","Gables 608","Estimating"
"UNKNOWN","Mechanicsburg Volunteer Fire Department","Mechanicsburg Volunteer Fire Department","Estimating"
"UNKNOWN","New Holland Pole Barn","","Bid Submitted"
"UNKNOWN","Onvo Duncannon","2505 - OD","Lost"
"UNKNOWN","Paneling Sales Pine Building","Paneling Sales Pine Building","Estimating"
"UNKNOWN","Rita's Italian Ice ","","Estimating"
"UNKNOWN","Standard Estimating Template","","Estimating"
"UNKNOWN","Standard Project Template","","Estimating"
"UNKNOWN","Witmer Property","Witmer Property","Estimating"
"A & E Construction, Inc.","Giant Food Store #6459","","Bid Submitted"
"A & E Construction, Inc.","Giant Food Store #6582","2508 - GI","Lost"
"A & E Construction, Inc.","Village at Painters Crossing","","Bid Submitted"
"AB Martin","AB Martin 34 Denver Road","2508-AB","Complete"
"AB Martin","AB Martin 34 Denver Road","2508-AB","Estimating"
"American Construction And Concrete","PSECU","2507 - PSECU","Bid Submitted"
"American Construction And Concrete","Townplace Suites - Lebanon","TS-25-001","Lost"
"Ames Construction, Inc.","Cavod Performing Arts Center","2511 - CPAC","Bid Submitted"
"Ames Construction, Inc.","Engel Architects Basement","Engel Architects Basement","Estimating"
"Ames Construction, Inc.","Giant #6459","","Bid Submitted"
"Ames Construction, Inc.","Giant #6582","2508 - GI","Estimating"
"Ames Construction, Inc.","Giant #6582","2508 - GI","In Progress"
"Ames Construction, Inc.","John Stoltzfus","2508 - GI","Estimating"
"Ames Construction, Inc.","Onvo Duncannon","2505 - OD","Lost"
"Ames Construction, Inc.","Test project 2","TP-24-001","Estimating"
"Ames Construction, Inc.","WaWa #8191 Hummelstown Ames","2506 - WH","Bid Submitted"
"Ames Construction, Inc.","Wawa #8213","","Bid Submitted"
"Ames Construction, Inc.","Wawa #8236","","Bid Submitted"
"B.R. Kreider & Son, Inc.","Baron Run","2510 - BR","Bid Submitted"
"B.R. Kreider & Son, Inc.","Brookside Enterprise Phase 6","BSE - 25 - 001","Bid Submitted"
"B.R. Kreider & Son, Inc.","Clark Associates Lancaster","CAL - 25 - 001","Complete"
"B.R. Kreider & Son, Inc.","Clark Associates Lancaster","CAL - 25 - 001","Estimating"
"B.R. Kreider & Son, Inc.","Collegeville Apartments Site","2511-CS","Bid Submitted"
"B.R. Kreider & Son, Inc.","Cross Keys Road Extension","CKRE - 25 - 001","Bid Submitted"
"B.R. Kreider & Son, Inc.","Eagle Point","2509 - EP","Lost"
"B.R. Kreider & Son, Inc.","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"B.R. Kreider & Son, Inc.","Hershey Park Artist Compound","2510 - HPAC","Lost"
"B.R. Kreider & Son, Inc.","MVFD-Sitework","2505-MV","Lost"
"B.R. Kreider & Son, Inc.","New Holland Pole Barn","2511-CS","Bid Submitted"
"B.R. Kreider & Son, Inc.","Summerdale Apartments","SA - 25 - 001","Bid Submitted"
"B.R. Kreider & Son, Inc.","T2T Veterans Village","T2T - 25 - 001","Lost"
"B.R. Kreider & Son, Inc.","Treehouse Foods","TF - 25 - 001","Lost"
"BN Excavating Inc.","Ducklings Ambassador Circle Site","DA-25-001","Estimating"
"BN Excavating Inc.","Ducklings Ambassador Circle Site","DA-25-001","Complete"
"BN Excavating Inc.","Lancaster Archery Site","2510-LS","Bid Submitted"
"BN Excavating Inc.","Onvo Duncannon","2505 - OD","Lost"
"BN Excavating Inc.","Poplar Church Road Site","PC - 24 - 001","Lost"
"BN Excavating Inc.","Wilson Southern Middle School","2506-WS","Bid Submitted"
"Bancroft Construction","Longwood Gardens Repair","LG-25-001","Complete"
"Benchmark Construction Co., Inc.","Alexander Drive Addition","Alexander Drive Addition","Estimating"
"Benchmark Construction Co., Inc.","Cavod Performing Arts Center","2511 - CPAC","Bid Submitted"
"Benchmark Construction Co., Inc.","Copy of Messiah Lifeways Fernecrest Apartments","","Estimating"
"Benchmark Construction Co., Inc.","Cornwall Manor Grandview Circle","2509 - CMGC","Bid Submitted"
"Benchmark Construction Co., Inc.","Fellowship Community - IL Apartment Building","2509 - FCAB","Bid Submitted"
"Benchmark Construction Co., Inc.","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Benchmark Construction Co., Inc.","Hershey Lumber Company","2508 - HLC","Bid Submitted"
"Benchmark Construction Co., Inc.","John Stoltzfus","2507 - SECCRA","Estimating"
"Benchmark Construction Co., Inc.","Meadows Hybrid Homes Buildings 1 &2","MH-25-001","Lost"
"Benchmark Construction Co., Inc.","Messiah Lifeways Fernecrest Apartments","","Bid Submitted"
"Benchmark Construction Co., Inc.","New Holland Pole Barn","2508 - HLC","Bid Submitted"
"Benchmark Construction Co., Inc.","Onvo Duncannon","2505 - OD","Lost"
"Benchmark Construction Co., Inc.","SLI George Street","2510 - SLIGS","Bid Submitted"
"Benchmark Construction Co., Inc.","St Annes Cottages 45 & 46","","Complete"
"Benchmark Construction Co., Inc.","Template of Copy of TCC East Cocalico Warehouse","CAL - 25 - 001","Estimating"
"Benchmark Construction Co., Inc.","Test project 2","TP-24-001","Estimating"
"Benchmark Construction Co., Inc.","Thaddeus Stevens - Dorm Building","","Estimating"
"Benchmark Construction Co., Inc.","UGI Middletown Warehouse","MW-25-001","Complete"
"Benchmark Construction Co., Inc.","UGI Middletown Warehouse","MW-25-001","Post-Construction"
"Berg Construction","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Berg Construction","Lanchester Landfill - WAGA Energy","2508 - LLWE","Bid Submitted"
"Berg Construction","Penske Truck Collision Center","PTCC - 25 - 001","Bid Submitted"
"Berg Construction","SECCRA","2507 - SECCRA","Bid Submitted"
"Berg Construction","Washburn Dam","2508 - WD","In Progress"
"Berg Construction","Washburn Dam","2508 - WD","Estimating"
"Blue Ball Mennonite Church","Blue Ball Church","2510-BBC","Delayed"
"Blue Ball Mennonite Church","Test project 2","TP-24-001","Estimating"
"Bozzuto Construction Company","Alexander Drive Addition","Alexander Drive Addition","Estimating"
"Bozzuto Construction Company","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Bozzuto Construction Company","Residences at Providence Town Center, Phase 3","RP-25-001","Bid Submitted"
"Brecknock Builders LLC","Alza","2508 - A","Bid Submitted"
"Brecknock Builders LLC","Cozy Cabins","","Estimating"
"Brecknock Builders LLC","Cozy Cabins","","Bid Submitted"
"Brecknock Builders LLC","Cozy Cabins Shed","","Bid Submitted"
"Brecknock Builders LLC","Deck Craft Plus","2508-DCP","Bid Submitted"
"Brecknock Builders LLC","Edge Metal Works","","Bid Submitted"
"Brecknock Builders LLC","Frecon Farms","2505-25","Bid Submitted"
"Brecknock Builders LLC","Keystone Mills","","Bid Submitted"
"Brecknock Builders LLC","Melard Coach","","Bid Submitted"
"Brecknock Builders LLC","Nasatka Security","2508 - NS","Bid Submitted"
"Brecknock Builders LLC","Nasatka Security Addition","2508 - NSA","Bid Submitted"
"Brecknock Builders LLC","New Holland Pole Barn","2508-CC","Bid Submitted"
"Brecknock Builders LLC","Onvo Duncannon","2505 - OD","Lost"
"Brecknock Builders LLC","Rushtown Poultry","2511-RP","Bid Submitted"
"Brecknock Builders LLC","Smucker Energy","2506 - SE","Bid Submitted"
"Brecknock Builders LLC","Test project 2","TP-24-001","Estimating"
"Brecknock Builders LLC","Twin County Business Park","","Estimating"
"Brecknock Builders LLC","Valley View Doors","2511 - VVD","Bid Submitted"
"Brecknock Builders LLC","Valley View Doors","2511 - VVD","Lost"
"Brecknock Builders LLC","Weavertown Mennonite School","","Bid Submitted"
"Brecknock Builders LLC","West Building Wolf Movers","WBWM - 25 - 001","Bid Submitted"
"Buch Construction","Broadcasting Village","BV-25-001","Bid Submitted"
"Buch Construction","Engel Architects Basement","Engel Architects Basement","Estimating"
"C. Raymond Davis & Sons, Inc.","Canine Partners for Life","2508 - CP","Estimating"
"C. Raymond Davis & Sons, Inc.","Canine Partners for Life","2508 - CP","In Progress"
"C. Raymond Davis & Sons, Inc.","Chabad House","2511-CH","Bid Submitted"
"C. Raymond Davis & Sons, Inc.","Mercedes of Wilmington","2508 - MOW","Bid Submitted"
"C. Raymond Davis & Sons, Inc.","Onvo Duncannon","2505 - OD","Lost"
"C. Raymond Davis & Sons, Inc.","Test project 2","TP-24-001","Estimating"
"CBG Building Company","Ave Horsham Apartments + Garage","2510 - HA","Lost"
"CBG Building Company","CANVAS Lawrenceville-Apartments","2506 - CL","Bid Submitted"
"CBG Building Company","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"CBG Building Company","John Stoltzfus","WR-25-001","Estimating"
"CBG Building Company","New Holland Pole Barn","2506 - CL","Bid Submitted"
"CBG Building Company","Onvo Duncannon","2505 - OD","Lost"
"CBG Building Company","Paradise Masonry Time Tracking","PMC Time","Estimating"
"CBG Building Company","Sandbox Test Project","12345","Estimating"
"CBG Building Company","Test project 2","TP-24-001","Estimating"
"CBG Building Company","Willow Grove Retail Buildings D & H","WR-25-001","Lost"
"CBG Building Company","Willow Grove Site","WG-25-001","Estimating"
"CBG Building Company","Willow Grove Site","WG-25-001","Accepted"
"CCS Building Group","121 S Prince Street","2510 - 121","Lost"
"CCS Building Group","Cavod Performing Arts Center","2511 - CPAC","Bid Submitted"
"CCS Building Group","Country Meadows - York - Entrance","2510 - CMY","Lost"
"CCS Building Group","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"CCS Building Group","Gables 608 Patio","2506 - GP","Complete"
"CCS Building Group","Gables 833 Patio","","Complete"
"CCS Building Group","Gables 852 Patio","2505 - G852P","Complete"
"CCS Building Group","Jersey Mikes WVA","2508 - JM","Lost"
"CCS Building Group","John Stoltzfus","2510 - LCR","Estimating"
"CCS Building Group","Loft Community Partners","2508 - LC","Complete"
"CCS Building Group","Loft Community Partners","2508 - LC","Post-Construction"
"CCS Building Group","Memory Care 3A","2510 - MC3A","In Progress"
"CCS Building Group","Memory Care 3A","2510 - MC3A","Estimating"
"CCS Building Group","Memory Care Meditation Building","2511 - MCMB","In Progress"
"CCS Building Group","Memory Care Meditation Building","2511 - MCMB","Course of Construction"
"CCS Building Group","Mosaic","2507 - M","Bid Submitted"
"CCS Building Group","Onvo Duncannon","2505 - OD","Lost"
"CCS Building Group","Parking Garage Infill","PI-25-002","Complete"
"CCS Building Group","Parking Garage Infill at 17 W. Vine Street","PI-25-001","Complete"
"CCS Building Group","Providence Park Garage 306","2512 - PPG","Estimating"
"CCS Building Group","Providence Park Garage 306","2512 - PPG","Lost"
"CCS Building Group","Standard Project Template","2510 - CMY","Estimating"
"CCS Building Group","WVC - Lakes Phase I","2510 - LCR","In Progress"
"CCS Building Group","WVC - Lakes Phase I","2510 - LCR","Estimating"
"CCS Building Group","West King Street","WKS - 25 - 001","Lost"
"CCS Building Group","Willow Valley Lakes Core Phase 2","2511 - WVLC2","Bid Submitted"
"CGA Construction","Template of Copy of TCC East Cocalico Warehouse","2505 - TLE","Estimating"
"CGA Construction","The Learning Experience","2505 - TLE","Complete"
"CGA Construction","The Learning Experience","2505 - TLE","Estimating"
"CGA Construction","Wildflower Commons - Future Building","25050 - WCFB","Complete"
"CH+N Site","Broadcasting District Site","2507-BS","In Progress"
"CH+N Site","Broadcasting District Site","2507-BS","In Progress"
"CH+N Site","GLC Lehigh Valley Warehouse","","Bid Submitted"
"CH+N Site","Middletown Area Primary School","MAPS - 25 - 001","In Progress"
"CH+N Site","Middletown Area Primary School","MAPS - 25 - 001","Course of Construction"
"CH+N Site","Reserve at Eagles Landing","2506-RE","Bid Submitted"
"CH+N Site","Swedesford Road Bear Hill Elementary","2505 - SRBHE","Bid Submitted"
"CH+N Site","Test project 2","TP-24-001","Estimating"
"Caldwell, Heckles and Egan, Inc.","Railroad Museum of PA","RM-25-001","Lost"
"Callas Contractors, Inc.","Cumberland Township Municipal Building","CM-25-001","Lost"
"Callas Contractors, Inc.","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Caritas Construction","Orchard Square 2","2506-OS","Bid Submitted"
"Caritas Construction","Sandbox Test Project","12345","Estimating"
"Caritas Construction","Village at Painters Crossing","","Bid Submitted"
"Cedar Run Construction","Oakwood Manor","","Bid Submitted"
"Centurion Construction Group, LLC","Alexander Drive Addition","Alexander Drive Addition","Estimating"
"Centurion Construction Group, LLC","Alpha Broder","","Bid Submitted"
"Centurion Construction Group, LLC","Burkentine Warehouse","BW - 25 - 001","Bid Submitted"
"Centurion Construction Group, LLC","Cavod Performing Arts Center","2511 - CPAC","Bid Submitted"
"Centurion Construction Group, LLC","Coplay Loadout Addition","2508 - CL","Complete"
"Centurion Construction Group, LLC","DAF Water Treatment Plant","","Bid Submitted"
"Centurion Construction Group, LLC","Fresh Express Cull Waste Expansion","2508 - FE","Bid Submitted"
"Centurion Construction Group, LLC","Godshall's Quality Meats","2505-GM","Bid Submitted"
"Centurion Construction Group, LLC","Harrisburg Christian School","2510 - LCS","Complete"
"Centurion Construction Group, LLC","Illuminated Integration - Warehouse","","Bid Submitted"
"Centurion Construction Group, LLC","John Stoltzfus","LV-24-001","Estimating"
"Centurion Construction Group, LLC","Katallasso","","Bid Submitted"
"Centurion Construction Group, LLC","Katallasso","","Bid Submitted"
"Centurion Construction Group, LLC","Mechanicsburg Volunteer Fire Department","2505-MF","In Progress"
"Centurion Construction Group, LLC","Mechanicsburg Volunteer Fire Department","2505-MF","Estimating"
"Centurion Construction Group, LLC","Members First Gettysburg","","Bid Submitted"
